ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,obra_ctx_sector,obra_ctx_nivel_gobierno,obra_ctx_objeto_proceso,obra_ctx_metodo_contratacion,obra_ctx_departamento,obra_monto_contractual_sum,obra_n_contratos_ganados,obra_n_participantes_mean,obra_n_participantes_max,obra_ratio_contractual_referencial,obra_sobre_referencial,obra_ratio_oferta_contrato,obra_n_convocatorias_comite,obra_n_procesos_comite,obra_ratio_repeticion_comite,obra_comite_no_estandar,obra_n_contratos,obra_n_procesos,obra_n_contratos_postor_unico,obra_n_contratos_total_part,obra_pct_postor_unico,obra_ratio_participacion,obra_ratio_contrato_participacion,obra_rango_ofertas,obra_cv_ofertas,obra_n_contratos_montos_identicos,obra_n_contratos_con_montos,obra_pct_montos_identicos,obra_ratio_ganador_media,obra_n_postores_igual_ganador,obra_pct_postores_igual_ganador,obra_planificado_mean,obra_real_mean,obra_planificado_max,obra_real_max,obra_brecha_mean,obra_brecha_min,obra_brecha_std,obra_n_registros_ejec,obra_n_anhos,obra_n_meses,obra_desviacion_real_plan,obra_ratio_real_plan,obra_planificado_cero,obra_real_cero,obra_sin_ejecucion,obra_sobreavance,obra_n_alertas_total,obra_n_filas_con_alerta,obra_pct_filas_con_alerta,obra_tiene_ejecutora,obra_tiene_supervisora,obra_paralizada,obra_inactiva,obra_en_ejecucion,obra_finalizada,prob_Bajo Riesgo,prob_Med/Alt Riesgosa,prob_Extrem. Riesgosa,clase_predicha,clase_predicha_label,origen,y_real
SUPERVISIÓN,4.240872842698332,0.0,0.9651792718338496,0.0,TRABAJO,GOBIERNO LOCAL,Consultoría de Obra,Convenio,MULTIDEPARTAMENTAL,36174.08,1.0,152.63393625828502,153.89948405897817,0.9383170080304513,0.0,1.0072218129915453,0.015128562424855925,0.0,0.0,0.060379114918245026,1.0,1.0,0.0,1.0,0.0,1.0,0.49738180965002177,4907789.745020646,0.027396311321488735,0.0,1.0,0.0,0.9893863690503223,2.1659210313499893,0.027184814430114012,0.06215022481927929,0.0,0.003204181738966212,0.0,-0.007940953119204392,0.006099329958008203,0.00016073666444042073,1.0,0.0,0.2215460383626266,-0.02369281833789628,0.0,1.0,0.9397378193977243,1.0,0.0,0.0,0.0,0.0,0.9960643690637773,0.9892197067824758,0.0,0.03027234780800277,0.0627500820750361,0.9766173860676793,0.2433,0.4433,0.3133,1,Med/Alt Riesgosa,sintetico_bootstrap_v1,
EXPEDIENTE TÉCNICO,0.0,0.0,0.03800567517271129,0.0,SALUD,GOBIERNO REGIONAL,Consultoría de Obra,Adjudicación Simplificada - Ley N° 31125,CAJAMARCA,36174.08,1.0,9.72211779683632,10.04313227802343,0.9085483018619107,0.0,0.31432970304880087,1.0,1.0,1.0,0.011602089796780079,1.0,1.0,0.0,1.0,0.01835172107665746,2.0131595509411477,0.025326414587170772,98349.42952279383,0.0,1.0,1.0,0.935591830704036,1.01558309819174,24.75873612778554,1.8543486866477557,0.0,0.0,0.026886321065253037,0.049669185957362624,-0.000294063455464631,0.011299147660046365,0.0,1.0775965786622241,0.009561561555246328,0.22331040219487658,-0.016293708375120786,0.0,0.9904725507029599,0.9528449230175252,1.0,0.0,0.5507443578027589,0.27471715842312416,0.03962076004816644,0.0,1.0,0.003153097506370395,0.007024418956778916,0.0,0.0013925698622766056,0.1067,0.41,0.4833,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
EJECUCIÓN,189.25251113218795,0.0,0.0,0.0037414432921379073,TRANSPORTE,GOBIERNO NACIONAL,Obra,Procedimiento Especial de Contratación,MULTIDEPARTAMENTAL,36174.08,1.0,95.79693396001682,180.0216534684781,0.4408552689518468,0.0027589999754719275,0.09409181830143022,0.9796153642885003,1.0,1.0,0.9245606483138541,1.0,1.0,0.0,1.0,0.0,6.774015565720344,0.003484320557491289,2739094.8350224504,0.3536243573257389,0.011911170048281088,1.0,0.0,1.0041437234589208,841.6569282334343,3.20110324514641,0.0,0.0,0.0050975450351931914,0.0,0.006239034467897222,0.0041202887326001565,0.0,1.0794277031037613,0.05761814609495199,0.015743444474257733,0.0019355871022918778,0.06929108297549517,1.0,1.0,0.9851091545587828,0.0,0.37274072294886906,0.0,0.015406579204973306,1.0,1.0,0.01405858542448426,0.02938151788410667,0.0,1.0,0.73,0.1667,0.1033,0,Bajo Riesgo,sintetico_bootstrap_v1,
SUPERVISIÓN,9.428564775917707,0.0,1.0,0.022326239031811104,TRANSPORTE,GOBIERNO NACIONAL,Consultoría de Obra,Procedimiento Especial de Contratación,MULTIDEPARTAMENTAL,11701479.449535325,1.0,215.44626758986706,256.8547848065286,0.4233567596445435,0.0,0.6150738595666528,1.0,0.9761419319539555,0.9863442545162731,0.05791768325688261,1.0,1.0,0.014175127525008267,1.0,0.0,2.026275151937026,0.04016863426637503,4547836.83831877,0.06737115428746089,0.09852689038814166,1.0,0.00988340133480541,1.020880131365307,24.471517060575312,1.2662785495976572,0.0,0.0,0.03358928716120452,0.014063155750957932,0.003788352092877192,0.0079853554167366,0.0,1.0,0.03235582421779503,0.0,0.009038928163022132,0.02049621076610817,1.0,1.0,0.9853132462119696,0.0,0.0,0.0,0.0,0.8569871562078903,1.0,0.0,0.0,0.09558496725021423,1.0,0.12,0.4367,0.4433,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
EXPEDIENTE TÉCNICO,10.82454687131827,0.0,1.0,0.0,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,GOBIERNO NACIONAL,Obra,Convenio,LIMA,36174.08,1.0,179.181764453774,239.49478217126858,1.3608068234924549,1.0,0.4284145345326592,1.0,1.0,0.9180141117410978,1.0,1.0,1.0,0.0,1.0,0.0,2.06750165498428,0.1813469090328258,0.0,0.07185825803352788,0.018936049050644065,1.0,0.06046920877088186,1.0570222118098376,0.0,0.5691229549333857,0.2499375424399179,0.22123758070654903,0.510519665222647,0.3108408041723456,-0.06446366290689444,-0.19972327929319453,0.07753963685147655,4.154099245831842,0.9467176933886454,3.6616298429094636,-0.07016852535676806,0.7606684474726191,0.0,0.0,0.02042457225902908,0.0,4.185242475272885,4.143380772558187,0.9672715638960662,0.0,0.9914544361883588,0.0,0.0,0.9470176319929877,0.0015677859701509166,0.1333,0.1933,0.6733,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
SUPERVISIÓN,0.0,0.004345404883127332,0.0,0.015549455608538234,SALUD,GOBIERNO REGIONAL,Consultoría de Obra,Adjudicación Simplificada - Ley N° 31125,CAJAMARCA,36174.08,1.0,151.6732731254395,149.2212309808632,0.9183683170276504,0.0,0.9478802167844609,0.9974456868074502,0.9818759810536912,1.0,0.0,1.0,1.0,0.02079915495482514,1.0,0.009792765777917555,1.0135400104702454,0.2756134057323414,7678920.333906664,0.0,1.0,1.0,0.9235705449313598,0.9331838494084301,0.0,0.7222088688396907,0.020720841959600344,0.031907526199744476,0.00904058392298786,0.017526370844532395,0.012270425405720377,0.004418048606477433,0.0,1.0593029304519974,0.0,0.0,0.007525568961139993,0.004186934887232937,0.9839155151402814,0.9835465770222602,0.9642917168512503,0.0,0.0,0.09261846648121537,0.06350197986625611,0.04110279929547675,0.987850561950117,0.0,0.0,0.0,0.0,0.03,0.1967,0.7733,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
SUPERVISIÓN,0.0,0.0,0.8912089529265976,0.016724631204403404,TRABAJO,GOBIERNO REGIONAL,Consultoría de Obra,Concurso Público,MULTIDEPARTAMENTAL,36174.08,1.0,205.62661072849346,231.2582262385054,1.0374718219520804,0.046640932352433925,0.2921839855356741,0.9952679638806878,0.9855195201621604,0.9848780455867582,0.0,1.0,1.0,0.0,1.0,0.0034582222450946364,3.0322943741882096,0.07345875121229603,0.0,0.08310475713638873,0.024760920819045323,1.0,0.0,1.0292769853419517,17.16848600186655,1.2659935472003963,0.02518513591020045,0.04111639858873088,0.013025703468853353,0.0,0.007777443536940102,-0.005974559350395546,0.0,1.0,0.018200723496637466,0.16832112835466526,0.010609539160807776,0.0,1.0,1.0,0.9763298685513733,0.0,0.0,0.026231802921886264,0.0,0.9834415952128398,0.9525416940281146,0.0,0.015447408496214293,1.0049734425441735e-05,0.9903344016692565,0.0133,0.25,0.7367,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
SUPERVISIÓN,0.0,0.009584426076798564,0.97280536120251,0.0,OTROS,GOBIERNO REGIONAL,Consultoría de Obra,Adjudicación Simplificada,MULTIDEPARTAMENTAL,17586428.830405407,1.0,101.61820723959774,158.72619331119424,0.9277574046244655,0.02699338552892483,0.8387863823810544,1.0,0.9327677690244381,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.9959264678229227,0.18435975613411523,9226052.239378832,0.02404614114889281,0.9481823998533684,1.0,0.9143632726894051,0.9129620020655751,0.0,1.508077348415424,0.06815972933442109,0.033367840479422636,0.22045713849838983,0.10098290648168277,0.0007536324382053294,-0.07056384657594326,0.03404300202978838,6.9717289073472415,1.0,6.879218863856354,-0.006230776389742996,1.1278513966218828,0.0,0.0068058787529491965,0.000629161079365825,0.007563376430460477,6.647170311410942,6.921126741999982,0.9916615248837705,0.9770535771808121,1.0,0.9904801004067689,0.0,0.01559124831535433,1.0,0.0267,0.21,0.7633,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
EJECUCIÓN,0.0,0.0,1.0,0.009215074762200065,EDUCACIÓN,GOBIERNO REGIONAL,Obra,Licitación Pública,JUNIN,169143195.7455495,1.0,121.87973276449598,85.61034297523777,0.9950216952468479,0.0,0.7057342300208955,0.9991735237228508,0.9990110573808157,1.0,0.08788167307108134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9574578649887142,1.0,0.9703578092538213,1.0320376504967965,11.674117875790797,0.03356273735067865,0.028732037442788384,0.03779753241278747,0.09931762840028308,0.13559806688007123,0.011366353362629561,-0.00683027409984341,0.011980372391659794,5.160034353683005,0.9317038211525643,5.137696397894089,0.002594339887214344,1.0767912377257653,0.0,0.04877863089892143,0.05101181127898545,1.0,4.434558319552712,4.735990707449558,0.9402725392738199,0.9208353777760045,0.9508727254543985,0.0,0.0,0.9635719000930206,0.0,0.0533,0.0733,0.8733,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
SUPERVISIÓN,15.780274697868512,0.0,0.0274429232645743,0.0,OTROS,GOBIERNO NACIONAL,Consultoría de Obra,Concurso Público,MULTIDEPARTAMENTAL,36174.08,1.0,205.53208906972276,274.6142467412659,0.900655727956421,0.0,0.5804866482331537,1.0,1.0,0.985929912793108,0.0,1.0,1.0,0.0,1.0,0.0,2.155777319580828,0.04819974461081409,8772842.325572526,0.04032665227849904,0.9865027461713992,1.0,1.0,1.028601590415902,65.17557962803899,1.953281375745223,0.0,0.0,0.0,0.0021815701415997335,-0.017922968827323235,-0.010047001854272463,0.006218505529359194,1.0,0.0,0.0,-0.006963197560951592,0.005144711413471238,0.9754497496320111,0.9935160477886107,1.0,0.006230258351309861,0.0,0.0,0.020656517632804915,0.05197603239071346,0.9613911590515681,0.0,0.0,0.0,0.0,0.05,0.64,0.31,1,Med/Alt Riesgosa,sintetico_bootstrap_v1,
SUPERVISIÓN,10.357545367941686,0.0,0.012350756618603279,0.020487273670858074,TRABAJO,GOBIERNO REGIONAL,Consultoría de Obra,Concurso Público,MULTIDEPARTAMENTAL,40759204.14780966,1.0,124.61835586569828,90.69067826171266,1.0039122689780982,0.0,0.8807771462903028,1.0,1.0,1.0,0.0,1.0,1.0,0.06828456335307817,1.0,0.0,1.0,0.17516644566643996,0.0,0.041264138939618514,0.046875388806980216,1.0,0.03755766089479675,1.2579629154026493,0.0,0.05244070009872853,0.05673274555796635,0.0,0.0,0.0,0.012335245669406237,-0.015101511967257742,0.00281685811154169,1.4401188453509843,0.097601440880726,0.0,0.006248861129314629,0.0,0.968923250932406,0.9658061141701274,1.0,0.0038560589065965325,0.5356594099988843,0.22354428016089892,0.0,0.9761869185875541,0.9434024236163909,0.0,2.6262121286967598e-05,0.001571599420934743,1.0,0.0267,0.1367,0.8367,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
ETAPA NO IDENTIFICADA,0.0,0.017838737000887676,0.05004876165704906,0.009852766679423442,TRANSPORTE,GOBIERNO NACIONAL,Obra,Regímen Especial,MULTIDEPARTAMENTAL,36174.08,1.0,63.45264056352288,41.30206292073631,0.9859434552154349,0.0,0.3972094985431537,0.0,0.0441332147578425,0.008290010743590478,0.009747756446777103,1.0,1.0,0.060244885514626915,1.0,0.03249977815803917,1.942117840831239,0.2407543062386309,15546747.158663837,0.015623712956424517,1.0,1.0,0.896270943018334,1.0529291187029957,0.0,0.878746929568111,0.0,0.0,0.019244542590172796,0.000835081143254203,0.0002573158514555515,-0.010473107664532445,0.0025565918864087728,1.3101662405774923,0.0,0.3388439021076375,-0.007099474326981369,0.0,0.97143923505762,1.0,0.9564631802588721,0.0,0.0,0.28930122586407886,0.0,0.05370309235539591,0.9845896569872266,0.0,0.0,0.0,0.9436229277178174,0.4867,0.27,0.2433,0,Bajo Riesgo,sintetico_bootstrap_v1,
ETAPA NO IDENTIFICADA,0.0,0.004446266474124448,0.02403792542091758,0.0,OTROS,GOBIERNO LOCAL,Consultoría de Obra,Adjudicación Simplificada,MULTIDEPARTAMENTAL,28659982.11343836,1.0,73.07931700176577,66.43908388179393,0.872984782752566,0.046002297380067884,0.9554159612262461,0.9668005520558289,1.0,1.0,0.0,1.0,1.0,0.0209895851730715,1.0,0.03867428894122579,1.1272366076440723,0.12436439690391127,0.0,0.0,0.0,1.0,0.026956124703912572,1.0170884292188611,4.796712230773809,0.8110896391478054,0.04107580393829597,0.0,0.040540253898650715,0.011216097701686065,-0.013923098858518418,-0.020334548079965736,0.0012645826369084695,1.0242989711645034,0.10387890526848914,0.18455124084798394,-0.01406802252652831,0.0,1.0,0.9871976323719389,1.0,0.010594690325958566,0.25189386795841756,0.02205848868950822,0.0,1.0,1.0,0.024651753064121776,1.0,0.9826265074176844,0.9566578382665173,0.2333,0.4867,0.28,1,Med/Alt Riesgosa,sintetico_bootstrap_v1,
ETAPA NO IDENTIFICADA,0.0,0.0,0.06042187931318034,0.0025029195320141516,ORDEN PÚBLICO Y SEGURIDAD,GOBIERNO REGIONAL,Obra,Convenio,ICA,317692075.840912,1.0,43.30758728450822,76.36721849552897,0.9789797774080745,0.0,0.6070778321583148,0.015296393583729216,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.091699636757276,0.2353145262384142,6444839.610384241,0.0,1.0,1.0,0.9523775883982106,1.0131448772434875,3.6123023610489446,0.9310527829736133,0.011731731064470473,0.018580950321603996,0.0,0.02103336845342581,-0.004831345569813974,-0.016219049812999584,0.0018575964060013896,1.0,0.0,0.0,0.0006097951957204801,0.016757613645787768,1.0,0.9675616544758929,1.0,0.0,0.29625648160437396,0.0,0.0018805619579197101,0.06467429280178533,0.0,0.0,0.0258576888226763,0.0,0.020526879106487813,0.77,0.0967,0.1333,0,Bajo Riesgo,sintetico_bootstrap_v1,
ETAPA NO IDENTIFICADA,0.0,0.006713614992678126,1.0,0.0255384677556838,SANEAMIENTO,GOBIERNO NACIONAL,Consultoría de Obra,Convenio,TACNA,61810675.52718666,1.0,25.80798922283574,10.538873943792993,0.23348715030555767,0.023518931723459195,1.116246894479865,0.9984315717487718,0.9745876423090405,1.0,0.03620016824199099,1.0,1.0,1.0,1.0,1.0,1.0255849880639818,1.0,0.0,0.035292015277087224,0.9029362506575225,1.0,0.9404528528154306,0.9836724521133594,3.1594616903161734,0.0,0.0,0.0,0.07208215889020812,0.03440082564508858,0.01203133516753539,-0.014291146012742968,0.0,1.0,0.0,0.0,0.01287557812526345,0.0,1.0,1.0,1.0,0.0,0.2039725569020527,0.0,0.012072214569241542,0.0,0.9874165407660037,0.014719895025299214,0.0210708253248882,0.0,0.0,0.3833,0.15,0.4667,2,Extrem. Riesgosa,sintetico_bootstrap_v1,
